
 

 ************************************************
 *                 JEDI ANALYSIS                *
 *       Judgement of Energy DIstribution       *
 ************************************************

                   Strain Energy (kcal/mol)  Deviation (%)
      Geometries     0.60568093                  -
 Red. Int. Modes      0.67725170                11.82

 RIM No.       RIM type                       indices        delta_q (au) Percentage    Energy (kcal/mol)
    36       bond angle                       C0 N4 H5        0.0000547      0.0        0.0000000
    37       bond angle                       N1 C0 N4       -0.0004432     -0.0       -0.0000010
    38       bond angle                      N1 C0 H12        0.0001901     -0.0       -0.0000002
    39       bond angle                       N1 C2 C3       -0.0002829     -0.0       -0.0000001
    40       bond angle                       N1 C2 C9       -0.0025887     -0.0       -0.0000201
    41       bond angle                       C2 C3 N6        0.0005859     -0.0       -0.0000007
    42       bond angle                       C2 C3 N4        0.0004759     -0.0       -0.0000014
    43       bond angle                      C2 C9 O10        0.0073259     -0.0       -0.0000635
    44       bond angle                       C2 C9 N8       -0.0067315     -0.0       -0.0002281
    45       bond angle                       C3 C2 C9        0.0028716     -0.0       -0.0000232
    46       bond angle                       C3 N4 H5        0.0000086     -0.0       -0.0000000
    47       bond angle                       C3 N6 C7        0.0000739     -0.0       -0.0000002
    48       bond angle                      N4 C0 H12        0.0002531     -0.0       -0.0000003
    49       bond angle                       N4 C3 N6       -0.0010618     -0.0       -0.0000043
    50       bond angle                      N6 C7 N11       -0.0008115     -0.0       -0.0000122
    51       bond angle                       N6 C7 N8       -0.0005501     -0.0       -0.0000025
    52       bond angle                       C7 N8 C9        0.0037504     -0.0       -0.0000993
    53       bond angle                      C7 N8 H13       -0.0012105     -0.0       -0.0000073
    54       bond angle                     C7 N11 H14        0.0038715     -0.0       -0.0001117
    55       bond angle                     C7 N11 H15       -0.0011581     -0.0       -0.0000247
    56       bond angle                      N8 C7 N11        0.0013616     -0.0       -0.0000266
    57       bond angle                      N8 C9 O10       -0.0005943      0.0        0.0000150
    58       bond angle                     N8 H13 N21        0.0017504      0.0        0.0000608
    59       bond angle                      C9 N8 H13       -0.0025399     -0.0       -0.0000519
    60       bond angle                     C9 O10 H27        0.0012597     -0.0       -0.0000233
    61       bond angle                    N11 H15 O20        0.0035300      0.0        0.0000931
    62       bond angle                    H14 N11 H15       -0.0027135     -0.0       -0.0000203
    63       bond angle                    C16 C17 N18       -0.0005092     -0.0       -0.0000010
    64       bond angle                    C16 C17 H26       -0.0003428     -0.0       -0.0000003
    65       bond angle                    C16 C22 N21        0.0054245     -0.0       -0.0001359
    66       bond angle                    C16 C22 N23       -0.0061160     -0.0       -0.0002939
    67       bond angle                    C17 C16 C22       -0.0024086     -0.0       -0.0000100
    68       bond angle                    C17 C16 H25        0.0003367      0.0        0.0000004
    69       bond angle                    C17 N18 H24       -0.0005601     -0.0       -0.0000006
    70       bond angle                    C17 N18 C19        0.0015406      0.0        0.0000015
    71       bond angle                    N18 C17 H26        0.0008520     -0.0       -0.0000023
